Please consider other options or go for a chinese smartphone,Below 10000,10000-12000,12000 - 15000,15000-20000,20000-25000,25000-30000,30000-40000,40000-50000,50000-70000,70000 - 100000,100000-120000,Above 120000,Performance(3),Camera(4),Battery(3),Display(2),Charging(2),Chinese,Brand,Rating,Overall,GSM ARENA Links
Redmi K20 pro,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,MI,pb0,1.2,https://www.gsmarena.com/xiaomi_redmi_k20_pro-9708.php
Redmi K20,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,MI,pcb,0.8,https://www.gsmarena.com/xiaomi_redmi_k20-9720.php
Redmi Note 9 pro,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,MI,pcb,0.8,https://www.gsmarena.com/xiaomi_redmi_note_9_pro-10217.php
Redmi 9A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,MI,b00,0.4,
Redmi 8a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,MI,b00,0.4,https://www.gsmarena.com/xiaomi_redmi_8a-9897.php
Redmi 9i,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,MI,b00,0.4,
Redmi 9 Prime,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,MI,pcb,0.8,https://www.gsmarena.com/xiaomi_redmi_9_prime-10353.php
Redmi Note 9,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,MI,pcb,1,https://www.gsmarena.com/xiaomi_redmi_note_9-10192.php
Redmi Note 9 pro max,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,1,MI,pcb,1,https://www.gsmarena.com/xiaomi_redmi_note_9_pro_max-10126.php
Oppo Reno 4 Pro,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,1,1,OPPO,c00,1.2,https://www.gsmarena.com/oppo_reno4_pro-10327.php
Oppo Find X2,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,1,1,1,OPPO,pc0,1.6,https://www.gsmarena.com/oppo_find_x2-10048.php
Oppo Reno 2F,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OPPO,c00,0.8,https://www.gsmarena.com/oppo_reno2_f-9810.php
Realme 7i,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,Realme,pcb,1.2,
Realme Narzo 20 Pro,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,Realme,pcb,1.2,
Realme Narzo 20,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,Realme,pcb,1,
Realme 6i,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,Realme,pb0,0.8,https://www.gsmarena.com/realme_6i_(india)-10331.php
Realme Narzo 20A,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,Realme,pcb,0.8,
Realme Narzo 10a,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,Realme,pcb,0.6,https://www.gsmarena.com/realme_narzo_10a-10234.php
Realme Narzo 10,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,Realme,pcb,0.8,https://www.gsmarena.com/realme_narzo_10-10145.php
Realme C15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,Realme,cb0,0.8,https://www.gsmarena.com/realme_c15-10326.php
Realme C12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,Realme,cb0,0.6,
Realme 7 Pro,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Realme,pcb,1,https://www.gsmarena.com/realme_7_pro-10400.php
Realme 7,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,Realme,pcb,1.2,https://www.gsmarena.com/realme_7_(asia)-10416.php
Realme 6 Pro,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Realme,pcb,1,https://www.gsmarena.com/realme_6_pro-10114.php
Realme X2 pro,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,Realme,pb0,1.2,https://www.gsmarena.com/realme_x2_pro-9904.php
Realme X3,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,1,1,1,Realme,pcb,1.4,https://www.gsmarena.com/realme_x3-10198.php
Realme X3 SuperZoom,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,1,1,1,Realme,pcb,1.4,https://www.gsmarena.com/realme_x3_superzoom-10250.php
Realme X50 Pro 5G,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,1,1,Realme,pc0,1.4,https://www.gsmarena.com/realme_x50_pro_5g-10097.php
ROG phone 3,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,1,1,0,ASUS,pcb,1.6,https://www.gsmarena.com/asus_rog_phone_3_zs661ks-10296.php
ROG phone 2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,1,1,0,ASUS,pcb,1.4,https://www.gsmarena.com/asus_rog_phone_ii_zs660kl-9770.php
Oneplus  8T,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,1,1,1,ONEPLUS,pcb,1.6,
Oneplus 8 Pro,0,0,0,0,0,0,0,0,1,0,0,0,2,3,2,1,1,1,ONEPLUS,pcb,1.8,https://www.gsmarena.com/oneplus_8_pro-9919.php
Oneplus 8,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,1,1,ONEPLUS,pcb,1.4,https://www.gsmarena.com/oneplus_8-10161.php
Oneplus 7T Pro,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,1,1,1,ONEPLUS,pcb,1.4,https://www.gsmarena.com/oneplus_7t_pro-9872.php
Oneplus 7T,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,1,1,1,ONEPLUS,pcb,1.4,https://www.gsmarena.com/oneplus_7t-9816.php
Oneplus 7 Pro,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,1,1,ONEPLUS,pcb,1.4,https://www.gsmarena.com/oneplus_7_pro-9689.php
Oneplus Nord,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1,1,ONEPLUS,pcb,1.2,https://www.gsmarena.com/oneplus_nord-10289.php
iPhone 12 Pro Max,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,1,0,APPLE,pcb,1.8,
iPhone 12 Pro,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,1,1,0,APPLE,pcb,1.6,
iPhone 12,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,1,1,0,APPLE,pcb,1.6,
iPhone 12 Mini,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,1,1,0,APPLE,pcb,1.6,
iPhone 11 Pro Max,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,1,0,0,APPLE,pcb,1.6,https://www.gsmarena.com/apple_iphone_11_pro_max-9846.php
iPhone 11 Pro,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,1,0,0,APPLE,pcb,1.4,https://www.gsmarena.com/apple_iphone_11_pro-9847.php
iPhone 11,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,1,0,0,APPLE,pcb,1.4,https://www.gsmarena.com/apple_iphone_11-9848.php
iPhone SE,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,APPLE,pc0,1,https://www.gsmarena.com/apple_iphone_se_(2020)-10170.php
iPhone XS Max,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,1,0,0,APPLE,pb0,1.2,https://www.gsmarena.com/apple_iphone_xs_max-9319.php
iPhone XS,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,1,0,0,APPLE,pb0,1.2,https://www.gsmarena.com/apple_iphone_xs-9318.php
iPhone XR,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,0,0,APPLE,pcb,1.2,https://www.gsmarena.com/apple_iphone_xr-9320.php
Pixel 4 XL,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,1,0,0,GOOGLE,pc0,1.4,https://www.gsmarena.com/google_pixel_4_xl-9895.php
Pixel 4,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,1,0,0,GOOGLE,pc0,1.2,https://www.gsmarena.com/google_pixel_4-9896.php
Pixel 4a,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,1,0,0,GOOGLE,c00,1.2,https://www.gsmarena.com/google_pixel_4a-10123.php
Pixel 3 XL,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,1,0,0,GOOGLE,pcb,1.4,https://www.gsmarena.com/google_pixel_3_xl-9257.php
Pixel 3,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,1,0,0,GOOGLE,pc0,1.2,https://www.gsmarena.com/google_pixel_3-9256.php
Pixel 3a,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,GOOGLE,pc0,0.8,https://www.gsmarena.com/google_pixel_3a-9408.php
Vivo Z1x,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,1,Vivo,pb0,1,https://www.gsmarena.com/vivo_z1x-9820.php
Vivo V19,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,1,1,Vivo,pcb,1.2,https://www.gsmarena.com/vivo_v19-10134.php
Vivo X50 Pro,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,1,1,1,Vivo,c00,1.4,https://www.gsmarena.com/vivo_x50_pro-10260.php
Vivo X50,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,1,1,Vivo,pc0,1.2,https://www.gsmarena.com/vivo_x50_5g-10271.php
POCO C3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,POCO,pb0,0.8,
POCO M2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,POCO,pcb,1,
Poco M2 pro,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,POCO,pcb,1,https://www.gsmarena.com/xiaomi_poco_m2_pro-10318.php
POCO X3,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,1,1,1,POCO,pcb,1.4,
Poco X2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,1,1,POCO,pcb,1.2,https://www.gsmarena.com/xiaomi_poco_x2-10050.php
Motorola Razr 5G,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,MOTOROLA,pcb,0.4,https://www.gsmarena.com/motorola_razr_2019-9630.php
Motorola Edge Plus,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,1,0,0,MOTOROLA,pb0,1.4,https://www.gsmarena.com/motorola_edge+-10119.php
Moto G8 Power Lite,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,MOTOROLA,cb0,0.6,https://www.gsmarena.com/motorola_moto_g8_power_lite-10154.php
Moto G9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,MOTOROLA,pb0,0.6,https://www.gsmarena.com/motorola_moto_g9_(india)-10384.php
Moto One fusion plus,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,MOTOROLA,pcb,0.8,https://www.gsmarena.com/motorola_one_fusion+-10290.php
Samsung Galaxy Fold 2,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,0,SAMSUNG,pcb,1.6,https://www.gsmarena.com/samsung_galaxy_fold-9523.php
Samsung Galaxy Z Flip,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,1,0,SAMSUNG,p00,1.2,https://www.gsmarena.com/samsung_galaxy_z_flip-10054.php
Samsung Note 20 Ultra,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,1,1,0,SAMSUNG,pcb,1.8,https://www.gsmarena.com/samsung_galaxy_note20_ultra_5g-10261.php
Samsung Note 20,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,1,1,0,SAMSUNG,pcb,1.6,https://www.gsmarena.com/samsung_galaxy_note20_5g-10325.php
Samsung S20 Ultra,0,0,0,0,0,0,0,0,0,1,0,0,2,3,2,1,1,0,SAMSUNG,pcb,1.8,https://www.gsmarena.com/samsung_galaxy_s20_ultra_5g-10040.php
Samsung S20 Plus,0,0,0,0,0,0,0,0,0,1,0,0,2,3,2,1,1,0,SAMSUNG,pcb,1.8,https://www.gsmarena.com/samsung_galaxy_s20+-10080.php
Samsung S20,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,1,1,0,SAMSUNG,pcb,1.6,https://www.gsmarena.com/samsung_galaxy_s20-10081.php
Samsung Galaxy S20 FE,0,0,0,0,0,0,0,1,0,0,0,0,2,3,2,1,1,0,SAMSUNG,pcb,1.8,
Samsung Note 10 Plus,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,1,1,0,SAMSUNG,pcb,1.4,https://www.gsmarena.com/samsung_galaxy_note10+-9732.php
Samsung Note 10,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,1,1,0,SAMSUNG,pcb,1.4,https://www.gsmarena.com/samsung_galaxy_note10-9788.php
Samsung S10 Plus,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,1,1,0,SAMSUNG,pcb,1.4,https://www.gsmarena.com/samsung_galaxy_s10+-9535.php
Samsung S10,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,1,0,SAMSUNG,pcb,1.4,https://www.gsmarena.com/samsung_galaxy_s10-9536.php
Samsung Note 10 Lite,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,1,1,0,SAMSUNG,pcb,1.6,https://www.gsmarena.com/samsung_galaxy_note10_lite-10003.php
Samsung S10 Lite,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,1,1,0,SAMSUNG,pcb,1.6,https://www.gsmarena.com/samsung_galaxy_s10_lite-9917.php
Samsung Galaxy M31S,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,1,1,0,SAMSUNG,pcb,1.4,https://www.gsmarena.com/samsung_galaxy_m31s-10333.php
Samsung Galaxy M01s,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAMSUNG,pc0,0,
Samsung Galaxy M01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,SAMSUNG,b00,0.4,https://www.gsmarena.com/samsung_galaxy_m01-10216.php
Samsung Galaxy M11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,SAMSUNG,b00,0.4,https://www.gsmarena.com/samsung_galaxy_m11-10124.php
Samsung Galaxy F41,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,1,0,0,SAMSUNG,cb0,1.2,
Samsung Galaxy M51,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,1,1,0,SAMSUNG,pcb,1.4,
Samsung Galaxy M31,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,SAMSUNG,pcb,1,https://www.gsmarena.com/samsung_galaxy_m31-10079.php
Samsung Galaxy M21,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,SAMSUNG,pcb,1,https://www.gsmarena.com/samsung_galaxy_m21-10111.php
Samsung Galaxy A21S,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,SAMSUNG,b00,0.6,https://www.gsmarena.com/samsung_galaxy_a21s-10239.php
Samsung Galaxy A31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,SAMSUNG,pcb,0.6,https://www.gsmarena.com/samsung_galaxy_a31-10149.php
Samsung Galaxy A51,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,SAMSUNG,pcb,0.6,https://www.gsmarena.com/samsung_galaxy_a51-9963.php
Samsung Galaxy A71,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,1,0,SAMSUNG,pcb,1.2,https://www.gsmarena.com/samsung_galaxy_a71-9995.php
