Name,Link,Buy Now Links,Detail Link
Redmi K20 pro,1KbPqrQ6r38xCnBpP74wyS_Be0F3jVUaf,https://www.flipkart.com/redmi-k20-pro-carbon-black-128-gb/p/itmfgfjtdjkzgyyr?pid=MOBFG7UYMCBRSQZ8&lid=LSTMOBFG7UYMCBRSQZ8VPP2VS&marketplace=FLIPKART&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&fm=SEARCH&iid=1b0c12f0-744a-48ee-89c4-76bdec546892.MOBFG7UYMCBRSQZ8.SEARCH&ppt=sp&ppn=sp&ssid=gvll6278ow0000001599477064996&qH=0b2f308098dbede3,
Redmi K20,1X9GA3aAN-WtAFKoYqx9CkgPbAVvmMM_X,https://www.flipkart.com/redmi-k20-carbon-black-128-gb/p/itmfggktjkrahjwm?pid=MOBFG7UYGCXFUZZV&lid=LSTMOBFG7UYGCXFUZZV3A8OBA&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=b289314d-ae04-4624-84f9-61b5a7248b63.MOBFG7UYGCXFUZZV.SEARCH&ppt=sp&ppn=sp&ssid=tl1i8ba8zk0000001599477188783&qH=2ea34f537c554346,
Redmi Note 9 pro,1HN3zXBMPJqVRjr13cJ0kWEspc_j9jrzg,https://amzn.to/3jTYAEK,
Redmi 8a,1MfSP0Kt0qaLGBosfFp4PSEW9qN88zPuw,https://amzn.to/359ByFH,
Redmi 9 Prime,1zFtZDFlBm8NMPpQxNaYpmuGlV_gFNmMK,https://amzn.to/2EWnPaH,
Redmi Note 9,1cFiuD97hPcbsoZx8ePqeA2Bz3FFG3s-C,https://amzn.to/323Dbmo,
Redmi Note 9 pro max,1WsJzRxZdBrzKjm76hUeEJJah5pIrLQ3b,https://amzn.to/3lWsM3K,
Oppo Reno 4 Pro,1hjDOhGpsijsqTdn8XLy7SnPQhMh8JlN1,https://www.flipkart.com/oppo-reno4-pro-silky-white-128-gb/p/itm7d439eedcfabf?pid=MOBFU2GY8Z4PWZZ9&lid=LSTMOBFU2GY8Z4PWZZ9X0QXXK&marketplace=FLIPKART&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_2_10_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_2_10_na_na_ps&fm=SEARCH&iid=a8316597-b2bf-40ea-9221-a010a22dd2fc.MOBFU2GY8Z4PWZZ9.SEARCH&ppt=sp&ppn=sp&ssid=zjr6q17v000000001599477751092&qH=d1c5df2cea3c2ca6,
Oppo Find X2,1ve60ydKdsXkU0HV0l23FEJPHwG3ANZ5X,https://amzn.to/3bxz45f,
Oppo Reno 2F,1s0O2699Vmqo76EQr9UuyZ0ANI-jC3J3a,https://www.flipkart.com/oppo-reno2-f-sky-white-256-gb/p/itm8413e7eb0b195?pid=MOBFTX93JK4UGWZS&lid=LSTMOBFTX93JK4UGWZSSPNQBC&marketplace=FLIPKART&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_ps&fm=SEARCH&iid=692584a1-deed-4238-822c-eab1ed999591.MOBFTX93JK4UGWZS.SEARCH&ppt=sp&ppn=sp&ssid=a4ddfblmbk0000001599477874144&qH=4c294c619b7db719,
