"oem","model","network_technology","network_2g_bands","network_gprs","network_edge","launch_announced","launch_status","body_dimensions","body_weight","body_sim","display_type","display_size","display_resolution","display","memory_card_slot","memory_phonebook","memory_call_records","sound_loudspeaker","sound_alert_types","sound_3.5mm_jack","comms_wlan","comms_bluetooth","comms_gps","comms_radio","comms_usb","features_sensors","features_messaging","features_browser","features_clock","features_alarm","features_games","features_java","features","misc_colors","network_3g_bands","network_speed","platform_os","platform_chipset","platform_cpu","platform_gpu","memory_internal","main_camera_single","main_camera_video","misc_price","main_camera_features","body","network_4g_bands","body_build","display_protection","memory","main_camera_dual","selfie_camera_dual","selfie_camera_features","selfie_camera_video","comms_nfc","battery_charging","misc_models","tests_performance","tests_camera","tests_loudspeaker","tests_audio_quality","tests_battery_life","tests_display","selfie_camera_single","comms_infrared_port","network_5g_bands","main_camera_quad","main_camera_triple","sound","misc_sar_eu","main_camera_five","features_languages","body_keyboard","misc_sar","battery","main_camera_dual_or_triple","battery_music_play","selfie_camera_triple","main_camera_v1","selfie_camera","camera","main_camera","network","battery_talk_time","battery_stand.by"
"Benefon","Vega","GSM","GSM 900","No","No","1999","Discontinued","145 x 56 x 23 mm (5.71 x 2.20 x 0.91 in)","190 g (6.70 oz)","Mini-SIM","Monochrome graphic",,"6 lines","Cyrillic characters","No","SIM only","15 dialed, 12 received, 12 missed calls","No","Vibration; Monophonic ringtones","No","No","No","No","No",,"V1","SMS",,"Yes","Yes","No","No","Organizer","V1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Removable Li-Ion battery",,,,,,"No",,,"4 - 10 h","3 - 6 days"
"Garmin-Asus","nuvifone M10","GSM / HSPA","GSM 900 / 1800 / 1900",,,"2010, January. Released 2010, March","Discontinued","-","-","Mini-SIM","TFT resistive touchscreen, 65K colors","3.5 inches, 34.9 cm","480 x 800 pixels, 5:3 ratio (~267 ppi density)",,"microSDHC (dedicated slot)",,,"Yes",,"Yes","Wi-Fi 802.11b/g","2.0, A2DP","Yes, with A-GPS","No","2.0","Accelerometer",,"WAP 2.0/xHTML, HTML",,,,,"MP3/eAAC+/WAV/WMA player  MP4/H.264/WMV player  Organizer  Pocket Office   Voice memo  Predictive text input","Black, White","HSDPA 900 / 2100","HSPA 7.2/0.384 Mbps","Microsoft Windows Mobile 6.5.3 Professional","Qualcomm MSM7227 Snapdragon S1","600 MHz ARM 11","Adreno 200","4GB 512MB RAM","5 MP, AF","480p@24fps","About 310 EUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Removable Li-Ion 1500 mAh battery",,,,,"V2",,,"GSM 850 / 1800 / 1900 - US version","Up to 8 h","Up to 600 h (2G) / Up to 600 h (3G)"
"Gigabyte","GSmart G1305 Boston","GSM / HSPA","GSM 850 / 900 / 1800 / 1900",,,"2010, April. Released 2010, April","Discontinued","116 x 56.8 x 12.4 mm (4.57 x 2.24 x 0.49 in)","118 g (4.16 oz)","Mini-SIM","TFT capacitive touchscreen, 256K colors","3.2 inches, 30.5 cm (~46.3% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)",,"microSDHC (dedicated slot)",,,"Yes",,"Yes","Wi-Fi 802.11 b/g","2.0, A2DP","Yes, with A-GPS",,"2.0","Accelerometer",,"HTML",,,,,"MP3/WAV/eAAC+ player  MP4/H.264 player  Document viewer  Photo viewer/editor  Organizer  Voice memo  Predictive text input","Black, White","HSDPA 900 / 1900 / 2100","HSPA 7.2/0.384 Mbps","Android 1.6 (Donut)","Qualcomm MSM7227 Snapdragon S1","600 MHz ARM 11","Adreno 200","256MB RAM","5 MP, AF","Yes","About 110 EUR","LED flash",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Removable Li-Po 1230 mAh battery",,,,,"V2",,,,"Up to 7 h 10 min","Up to 410 h"
"Gigabyte","GSmart","GSM / HSPA","GSM 900 / 1800",,,"Not officially announced yet","Cancelled","103 x 54 x 13.4 mm (4.06 x 2.13 x 0.53 in)","-","Mini-SIM","TFT capacitive touchscreen, 256K colors","2.8 inches, 24.3 cm (~43.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,"microSDHC (dedicated slot)",,,"Yes",,"Yes","Wi-Fi 802.11 b/g","2.0, A2DP","Yes, with A-GPS",,"Proprietary","Accelerometer",,"HTML",,,,,"Dedicated search key  MP3/eAAC+/WAV/WMA9 player  MP4/H.264/WMV9 player  Photo editor  Organizer  Voice memo  Predictive text input","Black","HSDPA 900 / 2100","HSPA 7.2/0.384 Mbps","Android 1.6 (Donut)","Qualcomm MSM7225 Snapdragon S1","528 MHz ARM 11","No","256MB RAM, 512MB","2 MP, AF","Yes",,,"Trackball",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Removable Li-Ion 1500 mAh battery",,,,,"V2",,,,,
"Google","Pixel 4 XL","GSM / CDMA / HSPA / EVDO / LTE","GSM 850 / 900 / 1800 / 1900",,,"2019, October 15","Available. Released 2019, October 22","160.4 x 75.1 x 8.2 mm (6.31 x 2.96 x 0.32 in)","193 g (6.81 oz)","Nano-SIM card & eSIM","P-OLED capacitive touchscreen, 16M colors","6.3 inches, 98.0 cm (~81.3% screen-to-body ratio)","1440 x 3040 pixels, 19:9 ratio (~537 ppi density)","HDR  Always-on display  90Hz refresh rate","No",,,"Yes, with stereo speakers",,"No","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, BDS, GALILEO","No","3.1, Type-C 1.0 reversible connector","Face ID, accelerometer, gyro, proximity, compass, barometer",,,,,,,,"Clearly White, Just Black, Oh So Orange","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps","Android 10","Qualcomm SM8150 Snapdragon 855 (7 nm)","Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)","Adreno 640","64GB 6GB RAM, 128GB 6GB RAM",,"4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)","<c2><a3><e2><80><89>679.00 / <e2><82><ac><e2><80><89>599.00 / $<e2><80><89>479.99","Dual-LED flash, Auto-HDR, panorama","IP68 dust/water resistant (up to 1.5m for 30 mins)","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66, 71 - Global","Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Corning Gorilla Glass 5","UFS 2.1","12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4<c2><b5>m, dual pixel PDAF, OIS  16 MP, f/2.4, 50mm (telephoto), 1/3.6"", 1.0<c2><b5>m, PDAF, OIS, 2x optical zoom","8 MP, f/2.0, 22mm (wide), 1.22<c2><b5>m, no AF  TOF 3D, (depth/biometrics sensor)","Auto-HDR","1080p@30fps","Yes","Fast charging 18W  USB Power Delivery 2.0  QI wireless charging","G020P, G020, GA01181-US, GA01182-US, GA01180-US","AnTuTu: 323305 (v7), 403267 (v8) GeekBench: 10171 (v4.4), 2267 (v5.1) GFXBench: 21fps (ES 3.1 onscreen)","Photo / Video","Voice 80dB / Noise 78dB / Ring 88dB","Noise -93.9 / Crosstalk -94.1","Endurance rating 73h",,,,,,,,,,,,,"Non-removable Li-Po 3700 mAh battery",,,,,,,,"CDMA 800 / 1900",,
"Google","Pixel 4","GSM / CDMA / HSPA / EVDO / LTE","GSM 850 / 900 / 1800 / 1900",,,"2019, October 15","Available. Released 2019, October 22","147.1 x 68.8 x 8.2 mm (5.79 x 2.71 x 0.32 in)","162 g (5.71 oz)","Nano-SIM card & eSIM","P-OLED capacitive touchscreen, 16M colors","5.7 inches, 80.7 cm (~79.8% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~444 ppi density)","HDR  Always-on display  90Hz refresh rate","No",,,"Yes, with stereo speakers",,"No","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, BDS, GALILEO","No","3.1, Type-C 1.0 reversible connector","Face ID, accelerometer, gyro, proximity, compass, barometer",,,,,,,,"Clearly White, Just Black, Oh So Orange","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps","Android 10","Qualcomm SM8150 Snapdragon 855 (7 nm)","Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)","Adreno 640","64GB 6GB RAM, 128GB 6GB RAM",,"4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)","<c2><a3><e2><80><89>569.00 / <e2><82><ac><e2><80><89>524.52 / $<e2><80><89>580.00","Dual-LED flash, Auto-HDR, panorama","IP68 dust/water resistant (up to 1.5m for 30 mins)","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66, 71 - Global","Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Corning Gorilla Glass 5","UFS 2.1","12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4<c2><b5>m, dual pixel PDAF, OIS  16 MP, f/2.4, 50mm (telephoto), 1/3.6"", 1.0<c2><b5>m, PDAF, OIS, 2x optical zoom","8 MP, f/2.0, 22mm (wide), 1.22<c2><b5>m, no AF  TOF 3D, (depth/biometrics sensor)","Auto-HDR","1080p@30fps","Yes","Fast charging 18W  USB Power Delivery 2.0  QI wireless charging","G020M, G020I, GA01188-US, GA01187-US, GA01189-US, GA01191-US, GA01189-US","AnTuTu: 395351 (v8) GeekBench: 2542 (v5.1) GFXBench: 31fps (ES 3.1 onscreen)","Photo / Video","Voice 79dB / Noise 71dB / Ring 83dB","Noise -71.5dB / Crosstalk -69.8dB","Endurance rating 62h","Contrast ratio: Infinite (nominal)",,,,,,,,,,,,"Non-removable Li-Po 2800 mAh battery",,,,,,,,"CDMA 800 / 1900",,
"Google","Pixel 3a XL","GSM / CDMA / HSPA / EVDO / LTE","GSM 850 / 900 / 1800 / 1900",,,"2019, May 07","Available. Released 2019, May 15","160.1 x 76.1 x 8.2 mm (6.30 x 3.00 x 0.32 in)","167 g (5.89 oz)","Nano-SIM, eSIM","OLED capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm (~76.3% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)","Always-on display","No",,,"Yes, with stereo speakers",,"Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO","No","2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",,,,,,,,"Just Black, Clearly White, Purple-ish","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat11 600/75 Mbps","Android 9.0 (Pie), upgradable to Android 10","Qualcomm SDM670 Snapdragon 670 (10 nm)","Octa-core (2x2.0 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver)","Adreno 615","64GB 4GB RAM","12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4<c2><b5>m, dual pixel PDAF, OIS","4K@30fps, 1080p@30/60/120fps","<c2><a3><e2><80><89>349.00 / <e2><82><ac><e2><80><89>329.00 / $<e2><80><89>261.60","Dual-LED flash, HDR, panorama",,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 20, 25, 26, 28, 29, 30, 38, 40, 41, 66, 71","Glass front (Asahi Dragontrail), plastic back, plastic frame","Asahi Dragontrail Glass","eMMC 5.1",,,"HDR","1080p@30fps","Yes","Fast charging 18W  USB Power Delivery 2.0","G020C, G020G, G020F","AnTuTu: 159110 (v7), 176612 (v8) GeekBench: 5176 (v4.4), 1307 (v5.1) GFXBench: 11fps (ES 3.1 onscreen)",,"Voice 79dB / Noise 77dB / Ring 91dB","Noise -90.8dB / Crosstalk -94.8dB","Endurance rating 98h","Contrast ratio: infinite","8 MP, f/2.0, 24mm (wide), 1/4"", 1.12<c2><b5>m",,,,,,,,,,,"Non-removable Li-Po 3700 mAh battery",,,,,,,,"CDMA 800 / 1900",,
"Google","Pixel 3a","GSM / CDMA / HSPA / EVDO / LTE","GSM 850 / 900 / 1800 / 1900",,,"2019, May 07","Available. Released 2019, May 15","151.3 x 70.1 x 8.2 mm (5.96 x 2.76 x 0.32 in)","147 g (5.19 oz)","Nano-SIM","OLED capacitive touchscreen, 16M colors","5.6 inches, 79.6 cm (~75.0% screen-to-body ratio)","1080 x 2220 pixels, 18.5:9 ratio (~441 ppi density)","Always-on display","No",,,"Yes, with stereo speakers",,"Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO","No","2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",,,,,,,,"Just Black, Clearly White, Purple-ish","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat11 600/75 Mbps","Android 9.0 (Pie), upgradable to Android 10","Qualcomm SDM670 Snapdragon 670 (10 nm)","Octa-core (2x2.0 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver)","Adreno 615","64GB 4GB RAM","12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4<c2><b5>m, dual pixel PDAF, OIS","4K@30fps, 1080p@30/60/120fps","<c2><a3><e2><80><89>299.00 / <e2><82><ac><e2><80><89>304.00 / $<e2><80><89>212.16","Dual-LED flash, HDR, panorama",,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66, 71","Glass front (Asahi Dragontrail), plastic back, plastic frame","Asahi Dragontrail Glass","eMMC 5.1",,,"HDR","1080p@30fps","Yes","Fast charging 18W  USB Power Delivery 2.0","G020A, G020E, G020B",,,,,,,"8 MP, f/2.0, 24mm (wide), 1/4"", 1.12<c2><b5>m",,,,,,,,,,,"Non-removable Li-Po 3000 mAh battery",,,,,,,,"CDMA 800 / 1900",,
"Haier","N60","GSM","GSM 900 / 1800 / 1900","Class 10","No","2005, Q1","Discontinued","94 x 48 x 25 mm (3.70 x 1.89 x 0.98 in)","131 g (4.62 oz)","Mini-SIM","TFT resistive touchscreen, 256K colors",,"320 x 240 pixels, 4:3 ratio","Handwriting Recognition  Swivel and rotate  Screensavers, logos","SDIO/MMC",,,"Yes","Vibration; Downloadable polyphonic, MP3 ringtones","No","No","No","No","No","Proprietary","V1",,"WAP 1.2.1",,,,,"MP3/MP4 player  Predictive text input  World clock  Organizer","V1",,,"Linux",,"312 MHz",,"60MB","1.3 MP","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Removable Li-Ion 900 mAh battery",,,,,"No",,,,,
"Haier","T3000","GSM","GSM 900 / 1800 / 1900","Class 10","No","2005, Q1","Discontinued","85 x 45 x 23.5 mm (3.35 x 1.77 x 0.93 in)","85 g (3.00 oz)","Mini-SIM","65K colors",,"128 x 160 pixels","Screensaver  Downloadable logos","No","Yes",,"No","Vibration; Downloadable polyphonic ringtones","No","No","No","No","No",,"V1","SMS, MMS, EMail","WAP 1.2.1",,,"Yes","Yes, MIDP 2.0","Push To Talk  Predictive text input  Calculator  Voice memo","V1",,,,,,,"4MB","VGA","No",,,,,,,,,,,,,,,,,,,,,,"Yes",,,,,,,,,,"Removable Li-Ion 600 mAh battery",,,,,"No",,,,"Up to 2 h","Up to 200 h"
